tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
121-09237,GALLATIN PIKE,SOUTHBOUND,DOUGLAS AVE,TN,DAVIDSON,37206,36.19668,-86.74226,36.19268,-86.74442,0.301442,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50139,WAYNESBORO HWY,WESTBOUND,US-64,TN,LAWRENCE,38464,35.30323,-87.46769,35.3029,-87.46778,0.023354,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14828,HOLMES RD,EASTBOUND,AIRWAYS BLVD,TN,SHELBY,38116,35.00643,-90.00768,35.00646,-89.98988,1.007244,9.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09238,GALLATIN PIKE,SOUTHBOUND,CAHAL AVE,TN,DAVIDSON,37216,36.20358,-86.73853,36.19668,-86.74226,0.520056,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14865,FOREST HILL IRENE RD,NORTHBOUND,POPLAR PIKE,TN,SHELBY,38138,35.04769,-89.75992,35.06299,-89.75953,1.05758,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11589,US-441,SOUTHBOUND,PARKWAY BYP/GATLINBURG BYP,TN,SEVIER,37738,35.71103,-83.51887,35.69523,-83.52914,1.251777,3.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-10257,ROGERS RD,SOUTHBOUND,N MOORE RD,TN,HAMILTON,37411,35.02596,-85.23086,35.02303,-85.22313,0.486286,2.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09268,TN-171,SOUTHBOUND,US-41/TN-1/MURFREESBORO PIKE,TN,DAVIDSON,37013,36.12582,-86.51905,36.04327,-86.60583,8.136194,9.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14866,FOREST HILL IRENE RD,NORTHBOUND,US-72/POPLAR AVE,TN,SHELBY,38138,35.06299,-89.75953,35.06788,-89.75936,0.337986,7.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-10258,ROGERS RD,SOUTHBOUND,SHAWNEE TRL,TN,HAMILTON,37411,35.03026,-85.24276,35.02596,-85.23086,0.736726,1.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N13190,THE TRACE,SOUTHBOUND,US-79/DONELSON PKWY,TN,STEWART,37058,36.48047,-87.88841,36.48022,-87.88821,0.020534,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09269,TN-171,SOUTHBOUND,STEWARTS FERRY PIKE,TN,WILSON,37122,36.15374,-86.51627,36.12582,-86.51905,1.966086,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09267,TN-171,SOUTHBOUND,I-24,TN,DAVIDSON,37013,36.04247,-86.60721,36.01561,-86.62017,2.060959,11.0,America/Chicago,P1.3,USA,2021-03-30 14:00:00-04:00,null
121-09264,TN-254,WESTBOUND,US-31 ALT/US-41 ALT/TN-11/NOLENSVILLE PIKE,TN,DAVIDSON,37211,36.04477,-86.66093,36.04538,-86.71325,3.057807,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14862,FOREST HILL IRENE RD,NORTHBOUND,TN-175/E SHELBY DR,TN,SHELBY,38125,35.00644,-89.75963,35.02059,-89.75963,0.97772,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09265,TN-254,WESTBOUND,I-24,TN,DAVIDSON,37013,36.04755,-86.65607,36.04561,-86.65845,0.18907,2.0,America/Chicago,P1.3,USA,2021-03-30 14:00:00-04:00,null
113+14863,FOREST HILL IRENE RD,NORTHBOUND,TN-385/BILL MORRIS PKWY,TN,SHELBY,38125,35.02059,-89.75963,35.02658,-89.75958,0.414052,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09262,TN-254,WESTBOUND,EDMONDSON PIKE,TN,DAVIDSON,37211,36.04472,-86.7249,36.04,-86.74349,1.291038,7.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09263,TN-254,WESTBOUND,AMALIE DR/ENCLAVE CIR,TN,DAVIDSON,37211,36.04538,-86.71325,36.04481,-86.72476,0.659186,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14864,FOREST HILL IRENE RD,NORTHBOUND,WINCHESTER RD,TN,SHELBY,38125,35.02836,-89.75971,35.04754,-89.75992,1.325583,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09260,TN-254,WESTBOUND,US-31/TN-6/FRANKLIN RD,TN,DAVIDSON,37027,36.03798,-86.78445,36.0375,-86.78654,0.122619,10.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09261,TN-254,WESTBOUND,I-65,TN,DAVIDSON,37027,36.04,-86.74349,36.04039,-86.78048,2.157607,8.0,America/Chicago,P1.3,USA,2021-03-30 14:00:00-04:00,null
121-11583,TN-66,SOUTHBOUND,TN-448/NORTH PKWY,TN,SEVIER,37876,35.9045,-83.58137,35.87243,-83.56834,2.472283,24.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-10252,TN-321,SOUTHBOUND,TN-320/E BRAINERD RD,TN,HAMILTON,37363,35.014,-85.08994,35.00016,-85.09463,1.00487,6.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
